Name,Group1 Count,Group1 Name,Group1 Percentage,Group2 Count,Group2 Name,Group2 Percentage,Group3 Count,Group3 Name,Group3 Percentage,Group4 Count,Group4 Name,Group4 Percentage,MaxResponseTime Ok,MaxResponseTime Ko,MaxResponseTime Total,MeanNumberOfRequestsPerSecond Ok,MeanNumberOfRequestsPerSecond Ko,MeanNumberOfRequestsPerSecond Total,MeanResponseTime Ok,MeanResponseTime Ko,MeanResponseTime Total,MinResponseTime Ok,MinResponseTime Ko,MinResponseTime Total,NumberOfRequests Ok,NumberOfRequests Ko,NumberOfRequests Total,Percentiles1 Ok,Percentiles1 Ko,Percentiles1 Total,Percentiles2 Ok,Percentiles2 Ko,Percentiles2 Total,Percentiles3 Ok,Percentiles3 Ko,Percentiles3 Total,Percentiles4 Ok,Percentiles4 Ko,Percentiles4 Total,StandardDeviation Ok,StandardDeviation Ko,StandardDeviation Total
Global Information - ,168811,t < 800 ms - ,100,42,800 ms < t < 1200 ms - ,0,55,t > 1200 ms - ,0,84,failed - ,0,3171.000000,226.000000,3171.000000,75.405357,0.037500,75.442857,136.000000,128.000000,136.000000,43.000000,105.000000,43.000000,168908.000000,84.000000,168992.000000,107.000000,117.000000,107.000000,261.000000,166.000000,261.000000,306.000000,177.000000,306.000000,506.000000,196.000000,506.000000,94.000000,24.000000,94.000000
[POST] Login Check - ,2596,t < 800 ms - ,100,1,800 ms < t < 1200 ms - ,0,3,t > 1200 ms - ,0,0,failed - ,0,2624.000000,0.000000,2624.000000,1.160714,0.000000,1.160714,119.000000,0.000000,119.000000,87.000000,0.000000,87.000000,2600.000000,0.000000,2600.000000,107.000000,0.000000,107.000000,149.000000,0.000000,149.000000,159.000000,0.000000,159.000000,188.000000,0.000000,188.000000,82.000000,0.000000,82.000000
└─[GET] teacher Courses list Redirect 1 - ,400,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,236.000000,0.000000,236.000000,0.178571,0.000000,0.178571,125.000000,0.000000,125.000000,95.000000,0.000000,95.000000,400.000000,0.000000,400.000000,118.000000,0.000000,118.000000,161.000000,0.000000,161.000000,176.000000,0.000000,176.000000,201.000000,0.000000,201.000000,25.000000,0.000000,25.000000
└─[GET] GetOutboxMessages - ,2518,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,289.000000,0.000000,289.000000,1.124107,0.000000,1.124107,61.000000,0.000000,61.000000,47.000000,0.000000,47.000000,2518.000000,0.000000,2518.000000,56.000000,0.000000,56.000000,81.000000,0.000000,81.000000,87.000000,0.000000,87.000000,104.000000,0.000000,104.000000,14.000000,0.000000,14.000000
[GET] Course settings - ,200,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,513.000000,0.000000,513.000000,0.089286,0.000000,0.089286,325.000000,0.000000,325.000000,262.000000,0.000000,262.000000,200.000000,0.000000,200.000000,319.000000,0.000000,319.000000,384.000000,0.000000,384.000000,411.000000,0.000000,411.000000,477.000000,0.000000,477.000000,45.000000,0.000000,45.000000
[GET] Messages Redirect 2 - ,0,t < 800 ms - ,0,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,82,failed - ,100,0.000000,190.000000,190.000000,0.000000,0.036607,0.036607,0.000000,126.000000,126.000000,0.000000,105.000000,105.000000,0.000000,82.000000,82.000000,0.000000,117.000000,117.000000,0.000000,161.000000,161.000000,0.000000,172.000000,172.000000,0.000000,188.000000,188.000000,0.000000,21.000000,21.000000
[GET] Student Score Skill Chart - ,1204,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,775.000000,0.000000,775.000000,0.537500,0.000000,0.537500,275.000000,0.000000,275.000000,200.000000,0.000000,200.000000,1204.000000,0.000000,1204.000000,268.000000,0.000000,268.000000,328.000000,0.000000,328.000000,349.000000,0.000000,349.000000,393.000000,0.000000,393.000000,41.000000,0.000000,41.000000
└─[GET] list Redirect 1 - ,200,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,138.000000,0.000000,138.000000,0.089286,0.000000,0.089286,81.000000,0.000000,81.000000,61.000000,0.000000,61.000000,200.000000,0.000000,200.000000,75.000000,0.000000,75.000000,106.000000,0.000000,106.000000,111.000000,0.000000,111.000000,123.000000,0.000000,123.000000,16.000000,0.000000,16.000000
[POST] DELETE course - ,198,t < 800 ms - ,99,1,800 ms < t < 1200 ms - ,1,1,t > 1200 ms - ,1,0,failed - ,0,3171.000000,0.000000,3171.000000,0.089286,0.000000,0.089286,138.000000,0.000000,138.000000,69.000000,0.000000,69.000000,200.000000,0.000000,200.000000,84.000000,0.000000,84.000000,199.000000,0.000000,199.000000,294.000000,0.000000,294.000000,752.000000,0.000000,752.000000,242.000000,0.000000,242.000000
[GET] Messages - ,2600,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,131.000000,0.000000,131.000000,1.160714,0.000000,1.160714,59.000000,0.000000,59.000000,45.000000,0.000000,45.000000,2600.000000,0.000000,2600.000000,54.000000,0.000000,54.000000,77.000000,0.000000,77.000000,83.000000,0.000000,83.000000,96.000000,0.000000,96.000000,12.000000,0.000000,12.000000
